text,coarse_label
What does the six-footed Musca domestica become when it enters a house ?,entity
What is the history of skateboarding ?,description
Who starred in Singing in the Rain and The Singing Nun ?,human
How do I make fuel bricks from recycled newspaper ?,description
What 19th-century painter died in the Marquesas Islands ?,human
The corpus callosum is in what part of the body ?,entity
How do I log on to home page at Headquarters U.S. European Command ?,description
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",location
What is Nebraska 's most valuable resource ?,entity
How many species of the Great White shark are there ?,numeric
What is the origin of head lice ?,description
What is the nickname for the state of Mississippi ?,location
What was the first domesticated bird ?,entity
How many villi are found in the small intestine ?,numeric
What country did King Wenceslas rule ?,location
What is a fear of shadows ?,entity
Who were the five Marx brothers ?,human
In which year was New Zealand excluded from the ANZUS alliance ?,numeric
When did CNN begin broadcasting ?,numeric
What causes the body to shiver in cold temperatures ?,description
What are bear and bull markets ?,description
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,entity
What is `` dew point '' ?,description
What is the meaning of Jesus ?,description
What company 's logo is a `` W '' in a circle ?,human
What is the definition of a cascade ?,description
When did Rococo painting and architecture flourish ?,numeric
What country 's national passenger rail system is called Via ?,location
Who invented Make-up ?,human
What is the origin of the word `` attic '' ?,description
What did Delilah do to Samson 's hair ?,description
What kind of animals were in the Paleozoic era ?,entity
Which of the following was Rhodes Scholar ?,human
Who comprised the now-defunct comic book team known as the Champions ?,human
How do you make a paintball ?,description
What U.S. state is Fort Knox in ?,location
What is a female rabbit called ?,entity
Where is the highest point in Japan ?,location
Where do chihuahuas come from ?,description
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,location
What are the world 's four oceans ?,location
What 's the only work by Michelangelo that bears his signature ?,entity
What is the largest snake in the world ?,entity
In what medium is Stuart Hamblen considered to be the first singing cowboy ?,entity
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,location
How much money does a back injury lawsuit get ?,numeric
What 's the common name for acetylsalicylic acid ?,entity
What does the Georgetown `` Hoya '' mean ?,description
Where can I find a list of `` classic '' books 5th and 6th graders should read ?,location
Which two products use a tiger as their symbol ?,entity
How is the election of a new Pope announced to the world ?,description
How long does it take for your blood to make one complete trip through the body ?,numeric
How do chickens have baby chicks ?,description
What is the historical relationship of Catholic Church and bingo ?,description
How was the element calcium named ?,description
What crooner joined The Andrews Sisters for Pistol Packin Mama ?,human
What piano company claims its product is the `` Instrument of the immortals '' ?,human
When did the Bounty mutiny take place ?,numeric
What novel inspired the movie BladeRunner ?,entity
What is a transistor ?,description
What is a film starring Jude Law ?,entity
What Hollywood dog died in the arms of Jean Harlow in 1932 ?,entity
What are the most common elements in the Earth 's crust ?,entity
"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",numeric
What actress has received the most Oscar nominations ?,human
What are equity securities ?,description
What is gymnophobia ?,description
How many years do fossils take to form ?,numeric
Where is the Orinoco ?,location
What was the name of the `` Little Rascals '' dog ?,entity
"What city boasts Penn 's Landing , on the banks of the Delaware river ?",location
What Broadway musical was inspired by Cervantes 's Don Quixote ?,entity
"What is the origin of the word , JJ .",description
How many hostages were killed in the Entebbe raid ?,numeric
How you can raise your IQ ?,description
What does INRI stand for when used on Jesus ' cross ?,abbreviation
Who produces Spumante ?,human
Who earns their money the hard way ?,human
Who founded the People 's Temple Commune ?,human
What athlete makes the most money from sports merchandise sales ?,human
How many bends are there in a standard paper clip ?,numeric
Who discovered electricity ?,human
What part of your body contains the corpus callosum ?,entity
Who was the first American in space ?,human
What two South American countries do n't border Brazil ?,location
What album put The Beatles on the cover of Time in 1967 ?,entity
"What poem contains the line , `` grow old with me the best is yet to be '' .",entity
What is a dental root canal ?,description
What war did the Wanna-Go-Home Riots occur after ?,entity
What is the busiest air travel season ?,numeric
What 's the colored part of the eye called ?,entity
What are hook worms ?,description
Where is the Rose Bowl played ?,location
Which Japanese car maker had its biggest percentage of sale in the domestic market ?,human
Who is the mayor of Marbella ?,human
"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",location
In what year did Thatcher become prime minister ?,numeric
How many months does it take the moon to revolve around the Earth ?,numeric
Where are the 49 steps ?,location
In what year was De Gaulle elected president of France ?,numeric
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,human
Who directed `` Jaws '' ?,human
On what T.V. show could Tom Terrific be found ?,entity
What Indian tribe is F Troop perpetually doing battle with ?,human
Where did Indian Pudding come from ?,description
Why do some clothing labels say `` Use a nonchlorine bleach '' ?,description
How many colonies were involved in the American Revolution ?,numeric
What is the name of the city that Maurizio Pellegrin lives in ?,location
Where can I find pictorial directions on how to build a very simple treehouse ?,location
"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",entity
What is the name of the managing director of Apricot Computer ?,human
What is the occupation of Nicholas Cage ?,human
Why do horseshoes bring luck ?,description
"What is the 401 , K , plan ?",description
What causes pneumonia ?,description
What are the three winter months in the southern hemisphere ?,numeric
What does gringo mean ?,description
What country contains Africa 's northernmost point ?,location
What therapy attempts to elicit the `` primal scream '' ?,entity
Where is the Kalahari desert ?,location
Which Ventura County police department seized the largest cocaine shipment in it 's history ?,human
What city is sometimes called Gotham ?,location
What dangles over the tongue from the palate ?,entity
Who created Dennis the Menace ?,human
What dummy received an honorary degree from Northwestern University ?,human
When was the first Wall Street Journal published ?,numeric
What countries have the largest areas of forest ?,location
How do I start a web based business ?,description
Name Alvin 's brothers,human
What is Eagle 's syndrome styloid process ?,description
How did Jayne Mansfield die ?,description
When did the royal wedding of Prince Andrew and Fergie take place ?,numeric
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,human
What explorer was nicknamed Iberia 's Pilot ?,human
CNN began broadcasting in what year ?,numeric
What is a ball that hits the foul pole called ?,entity
What makes hamburgers taste like steakburgers ?,description
Which company created the Internet browser Mosaic ?,human
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,entity
What was the education system in the 1960 's ?,entity
What South American city has the world 's highest commercial landing field ?,location
How can I find out which cities have cable-modem access ?,description
What is Betsy Ross famous for ?,description
How many species of sharks are there ?,numeric
What is `` snoogans '' ?,description
How many people are there in the world ?,numeric
What shrubs can be planted that will be safe from deer ?,entity
What organization 's offices were broken into at Watergate in 1972 ?,human
What is the design of the ship Titanic ?,description
What does S.O.S. stand for ?,abbreviation
Name a technique widely used to detect birth defects ?,entity
What is the daily requirement of folic acid for an expectant mother ?,description
What is the `` 7-minute cigarette '' ?,description
What four forms does gold occur in ?,entity
What is the acreage of the Chappellet vineyard ?,numeric
How do you correctly say the word ` qigong ' ?,description
When did beethoven die ?,numeric
How much does a new railroad coal car cost ?,numeric
What two European countries entered the War of American Independence against the British ?,location
What is the filmmakers collabrative ?,description
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,human
What caused Harry Houdini 's death ?,description
"Who was the mother of the man who would not be king , the duke of Windsor ?",human
How many revolutions does a standard LP make in three minutes ?,numeric
What is the name of the tallest mountain in the world ?,location
Where can I find a review of Nightmare on Elm Street in a film journal ?,location
What 's the slowest Olympic swimming stroke ?,entity
What was the name of the first Russian astronaut to do a spacewalk ?,human
What disease is transmitted by the Anopheles mosquito ?,entity
What rum is so `` mixable '' it is a one-brand bar ?,entity
How many South American countries have the letter Z in their names ?,numeric
What is the contents of proposition 98 ?,description
Where was George Washington born ?,location
"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",numeric
Who wrote NN DT NNP NNP '' ?,human
What is paracetamol ?,description
What are the powers and weaknesses of Green Lantern 's ring ?,description
"Which mosquito 's bite draws blood , DT NN CC DT NN .",entity
When was the first steel mill in the United States built ?,numeric
What diminutive American female gymnast stole the show at the 1984 Olympics ?,human
What is the origin of the name Katie ?,description
"What schools in the Washington , DC NN NN VBP NN NN NN NN .",human
When did the Berlin Wall go up ?,numeric
Who is Terrence Malick ?,human
What instrument is Ray Charles best known for playing ?,entity
"What 's the meaning of the Latin battle cry : Ad arma , ad arma .",description
What is the mascot for Notre Dame University ?,entity
"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?",location
When did Mount St. Helen last have a significant eruption ?,numeric
CNN is the abbreviation for what ?,abbreviation
When did World War I start ?,numeric
How many feet are there in a fathom ?,numeric
What is a Canada two-penny black ?,description
What European city do Nicois live in ?,location
How can I find out what year a Beanie Baby was introduced ?,description
What is the classic definition of tragic hero ?,description
To what does Microsoft 's Windows 3 owe its success ?,entity
Who was President of Afghanistan in 1994 ?,human
"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",entity
What did brontosauruses eat ?,entity
What color bottles do good Rhine wines come in ?,entity
Who was the lead actress in the movie ` Sleepless in Seattle ' ?,human
Who was the 16th President of the United States ?,human
Who are the two sons of Ozzie and Harriet Nelson ?,human
What is molybdenum ?,description
When is Boxing Day ?,numeric
What is the lowest level of the American judiciary ?,entity
When was the battle of the Somme fought ?,numeric
How many people did Randy Craft kill ?,numeric
What 's the official animal of Canada ?,entity
When did Spielberg direct `` Jaws '' ?,numeric
What is the size of the largest akita ?,numeric
What animal has the biggest eyes ?,entity
What is California 's capital ?,location
Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,human
Who was the founding member of the Pink Floyd band ?,human
What European country is home to the beer-producing city of Budweis ?,location
How do I find the balance of my social security account ?,description
What is the history of Valentine 's Day cards ?,description
Where was Christopher Columbus born ?,location
What do Italians call Florence ?,entity
How do you get to the top of the Eiffel Tower ?,description
What does ` PSI ' stand for ?,abbreviation
What sea did the Romans call mare nostrum ?,location
What 's the term for a bet before cards are dealt ?,entity
"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?",entity
What city did the Flintstones live in ?,location
What is Latin for incompetent ?,entity
What chemicals are used in lethal injection ?,entity
What toy company is the world 's No.1 maker of female apparel ?,human
What board game does a `` wood-pusher '' play poorly ?,entity
Which Doonesbury character was likely to turn into a werewolf ?,human
What is the abbreviation for micro ?,abbreviation
What are the 7 articles of the constitution ?,entity
Who has won the most Super Bowls ?,human
What does NASDAQ stand for ?,abbreviation
What is BPH ?,abbreviation
What is the fastest commercial automobile that can be bought in the US ?,entity
What stadium do the Miami Dolphins play their home games in ?,location
Who has the only speaking role in `` Silent Movie '' ?,human
Why is poop sometimes different colors ?,description
What was Einstein 's IQ ?,numeric
What day was Pearl Harbor attacked in 1942 ?,numeric
What girl 's name is `` Teddy '' an affectionate form of ?,human
What state is John F. Kennedy buried in ?,location
What is the best way to remove wallpaper ?,entity
What U.S. state has an element named for it ?,location
What company tabulates the ballots in voting for the Academy Awards ?,human
How did the tradition of best man start ?,description
How many years ago did the ship Titanic sink ?,numeric
What is the deepest area of the Arctic Ocean ?,location
What are Halloween 's colors ?,entity
How is silk screening done ?,description
"What is the latitude and longitude of El Paso , Texas ?",numeric
Who made a boat out of gopher wood ?,human
Where can I find a `` Fifth Element '' screensaver ?,location
Which Bloom County resident wreaks havoc with a computer ?,human
How do you match a name to a social security number ?,description
How does a rainbow form ?,description
What is the normal resting heart rate of a healthy adult ?,numeric
What is the population of Ohio ?,numeric
How many calories are there in a Big Mac ?,numeric
Hazmat stands for what ?,description
What creature scares people in the film `` Jaws '' ?,entity
What part did John Peter Zenger play in the deveopment of the newspaper in America ?,human
Who followed Caesar ?,human
What are the four elements ?,entity
Who was the first woman golfer to earn a million ?,human
What 's the tallest piece on a chessboard ?,entity
What is Answers.com 's address ?,location
Where can I buy movies on videotape online ?,location
Who does the advertizing for Frito-Lay ?,human
Who is the leading competitor of Trans Union Company ?,human
What product did Robert Conrad dare people to knock off his shoulder ?,entity
Who invented the radio ?,human
What 's the American dollar equivalent for 8 pounds in the U.K. ?,numeric
What are the different approaches of systems analysis ?,entity
How do doctors diagnose bone cancer ?,description
Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,human
What is the speed of the Mississippi River ?,numeric
What are the developmental stages of a swimmer ?,entity
What actor first portrayed James Bond ?,human
What ocean is the largest in the world ?,location
"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?",human
What year did Jack Nicklaus join the Professional Golfers Association tour ?,numeric
How many sonnets did Shakespeare write ?,numeric
What causes the redness in your cheeks when you blush ?,description
Who won the Nobel Peace Prize in 1991 ?,human
Who are the Challengers of the Unknown ?,human
Define the Pheonix Club ?,description
Which city did Christian Crusaders fight to recapture from the Muslims ?,location
What does it mean `` Rupee Depreciates '' ?,description
What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,entity
Who was the first coach of the Cleveland Browns ?,human
How successful is arometherapy ?,description
What Jewish holiday saw the start of the 1973 Mideast War ?,entity
How does a copier work ?,description
What is the speed of the Mississippi River ?,numeric
Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,human
What is Dudley Do-Right 's horse 's name ?,entity
Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,human
Where does chocolate come from ?,location
What TV game show once saw a contestant admit to picking his toes in the shower ?,entity
What Soviet leader owned a Rolls-Royce ?,human
Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,location
What war did Florence Nightingale tend the troops in ?,entity
"Who wrote the song , `` Stardust '' ?",human
How many Beatles ' records went #1 ?,numeric
Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,human
What is the abbreviation of the company name ` General Motors ' ?,abbreviation
What mountains lie between the Arkansas and Missouri rivers ?,location
Who received the Will Rogers Award in 1989 ?,human
What is the function of RAM ?,description
What 's the closest G2 Spectrum Yellow Dwarf to Earth ?,location
How many equal angles are there in an isosceles triangle ?,numeric
What is the fear of cockroaches called ?,entity
What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,entity
What is the use of a 24-hour clock instead of a 12-hour clock ?,description
What was the name of the lawyer who represented Randy Craft ?,human
What United States President had dreamed that he was assassinated ?,human
What film did Lee Marvin win the 1965 best actor Oscar for ?,entity
Where is Basque country located ?,location
What product does `` Mrs. Olsen '' promote ?,entity
What time of day did Emperor Hirohito die ?,numeric
What is dry ice ?,description
What 's the most powerful card in Euchre ?,entity
What does `` intractable plantar keratoma '' mean ?,description
How many years did it take James Joyce to write Ulysses ?,numeric
What crop failure caused the Irish Famine ?,entity
What South Korean city is served by Kimpo International Airport ?,location
How many types of dogs ' tails are there - three,numeric
What is the longest-running television series ?,entity
What predators exist on Antarctica ?,entity
What is the difference between a generator and an alternator ?,description
How is energy created ?,description
What beer advertised that it had `` three rings '' ?,entity
What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,numeric
What golfing accessory was patented by George Grant on December 12,entity
What are the different types of plastic ?,entity
How is it correct to say ` qigong ' ?,description
What was the highest mountain on earth before Mount Everest was discovered ?,location
"Where was the Ligurian Republic , 1797-185 , ?",location
What country 's people are the top television watchers ?,location
When was the women 's suffrage amendment ratified ?,numeric
What Polynesian people inhabit New Zealand ?,human
What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,entity
What Nevada center has been dubbed The Biggest Little City in the World ?,location
"What President lived at 219 North Delaware Street , Independence , Missouri ?",human
Give a reason for American Indians oftentimes dropping out of school .,description
Where must a soccer goalie stand to be permitted to handle the ball ?,location
What is the difference between classical conditioning and operant conditioning ?,description
In what U.S. state was the first woman governor elected ?,location
What are some interesting facts and information about dogsledding ?,description
What year did Hitler die ?,numeric
What famous model was married to Billy Joel ?,human
What kind of animal is Babar ?,entity
What is Jane Goodall known for ?,description
What killed Bob Marley ?,entity
How much money are Dumbo 's ears insured for ?,numeric
Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,human
Who is Stein Eriksen ?,human
What does the name Billie mean ?,description
Who is the fastest swimmer in the world ?,human
What is the highest peak in Africa ?,location
Where is Procter & Gamble headquartered in the U.S. ?,location
What desert has been called The Garden of Allah ?,location
What do bicornate animals have two of ?,entity
What function does a community 's water tower serve ?,description
What is a fear of weakness ?,entity
How many miles is it to Ohio from North Carolina ?,numeric
How much snow equals an inch of rain ?,numeric
What does G.M.T. stand for ?,abbreviation
What does Inuit and Eskimo mean ?,description
What song served as the closing theme of The Johnny Cash Show ?,entity
What field sport did dentist William Beers promote and write a standard book of rules for ?,entity
How do I tie dye clothes ?,description
When does the average teenager first have intercourse ?,numeric
Why doesn 't www.answers.com have any answers to my questions ?,description
What actor 's autobiography is titled All My Yesterdays ?,human
What Russian master spy lived in the U.S. under the name Emil Goldfus ?,human
Where 's the 19th hole on a golf course ?,location
What 's nature 's purpose for tornadoes ?,description
Who played the original Charlie 's Angels ?,human
Where can I find a person 's address from a telephone number ?,location
"What English word comes from the Old French covrefeu , meaning cover fire ?",entity
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,entity
Where did Sarge Steel get his metal hand ?,location
What makes popcorn pop ?,description
Who wrote The Night of the Iguana ?,human
Where does your hair grow the fastest ?,entity
What country did King Gustav V reign over from 197 to 195 ?,location
Who painted Mother and Child ?,human
What is the speed of the Mississippi River ?,numeric
In what area of the world was the Six Day War fought ?,location
What is the brightest star visible from Earth ?,location
What film marked Robert Redford 's directorial debut ?,entity
What was Mao 's second name ?,human
What film or films has Jude Law appeared in ?,entity
Where do hyenas live ?,location
Who is the `` Queen Mother '' ?,human
What 's the most commonly-spoken language in Belgium ?,entity
Who has more DNA - a man or a woman ?,human
What are Maid-Rites ?,description
"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?",entity
What level of government or governmental agency is responsible for dealing with racism ?,human
How many referees work a soccer game ?,numeric
What cocktail do you concoct with whisky and sweet vermouth ?,entity
How do you say `` fresh '' in Spanish ?,entity
What do bee hives do in cranberry bogs ?,description
What caused the Lynmouth floods ?,description
When is the Tulip Festival in Michigan ?,numeric
"Who came up with the name , El Nino ?",human
What movie did Madilyn Kahn star in with Gene Wilder ?,entity
What type of bridge is the Golden Gate Bridge ?,entity
What dictator has the nickname `` El Maximo '' ?,human
What stereo manufacturer is `` Slightly ahead of its time '' ?,human
What U.S. city is The Queen of the Pacific ?,location
What TV sitcom character had the maiden name Ethel Potter ?,human
What was the first Lifesaver flavor ?,entity
Who kept the most famous diary in the English language ?,human
Where can I find out the top 1 singles ?,location
How many degrees cooler is the inside of a cucumber than the air outside ?,numeric
What Spanish artist painted Crucifixion ?,human
What is the Jewish bible called ?,entity
Why is the grass green ?,description
What is a firewall ?,description
What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,human
Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,human
How long does it take for Spider-Man 's web to evaporate ?,numeric
Who was Randy Steven Craft 's lawyer ?,human
What was known as the Spice Island ?,location
Who was the first host of Person to Person ?,human
Name the Ranger who was always after Yogi Bear .,human
"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?",entity
What does the Statue of Liberty wear on her feet ?,entity
Who is the superstar in rent-a-cars ?,human
McCarren Airport is located in what city ?,location
"What household facility contains a float ball , ballcock , and overflow tube ?",entity
What was the name of Betty Boop 's dog ?,entity
What fraction of a beaver 's life is spent swimming ?,numeric
What was the Bridge of San Luis Rey made of ?,entity
What do economists do ?,description
What country has the largest sheep population ?,location
"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?",description
What country is the world 's largest importer of cognac ?,location
How many years is Johnnie Walker Black Label aged ?,numeric
What does SIDS stand for ?,abbreviation
What is Grenada 's main commodity export ?,entity
"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?",numeric
What makes a clitoris sensitive ?,description
"What country has the most time zones , with 11 ?",location
What `` magic '' does Mandrake employ ?,entity
Who is the president of Stanford University ?,human
Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?,human
"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?",entity
What city is Logan Airport in ?,location
What is a nanometer ?,description
How many innings are there in a regulation softball game ?,numeric
When did CNN go on the air ?,numeric
What is the largest city on the Great Lakes ?,location
What is the telephone number for the University of Kentucky ?,numeric
Who invented baseball ?,human
How many wives did Brigham Young have ?,numeric
What product on the market is good for hiding facial scars ?,entity
How long is the Coney Island boardwalk ?,numeric
What city gained renown for its pea-soup fogs ?,location
What does `` Janelle '' mean ?,description
How do I get another city 's newspaper ?,description
Name a movie about the Sioux Indians starring Kevin Costner .,entity
"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?",human
What are the distinct physical characterstics of the Arabian horse ?,description
What is a fear of thunder ?,entity
What animal has killed the most people ?,entity
How many colleges are in Wyoming ?,numeric
What Russian seaport has a name meaning `` Lord of the East '' ?,location
Where can stocks be traded on-line ?,location
When was the Battle of Hastings ?,numeric
What kind of file has the extension .dbf ?,entity
When did Muhammad live ?,numeric
"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?",entity
What is a wop ?,description
Where do rocks come from ?,description
How do I stop background noise in a car stereo ?,description
Where do people mountain climb in Nepal ?,location
What is the best college in the country ?,human
What is viscosity ?,description
What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?,entity
What are the Nordic nations ?,location
Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?,location
What U.S. state borders Illinois to the north ?,location
Name a film in which Jude Law acted .,entity
What is the temperature for baking Peachy Oat Muffins ?,numeric
What is a fear of bees ?,entity
What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?,entity
What is a green bog ?,description
Where did the myth of Santa Claus originate ?,location
What does a chairbound basophobic fear ?,entity
What city is served by Logan International Airport ?,location
What wrestling star became `` The Incredible Hulk '' ?,human
What attracts tourists to Reims ?,location
What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?,entity
What fastener did Whitcomb Judson patent in 1893 ?,entity
What 's an auberge in France ?,description
Who was the star of the 1965 Broadway hit Golden Boy ?,human
Where is Procter & Gamble based in the U.S. ?,location
What army was founded by William Booth and his wife Catherine ?,human
What does ribavirin consist of ?,entity
Name the soft drink that is `` number one in the sun . '',entity
What is the web address of the list of e-mail addresses of members of the House of Representatives ?,location
What was her real name ?,human
Why are the ears your center of balance ?,description
Who invented the toothbrush ?,human
What was the name of that popular song the Creeps sang ?,entity
Where is the Abominable Snowman said to wander ?,location
What is a fear of being alone ?,entity
How many dots make up the symbol for `` because '' ?,numeric
What do you get by adding Lactobacillus bulgaricus to milk ?,entity
"When reading classified ads , what does EENTY : other stand for ?",abbreviation
How many hearts does an octopus have ?,numeric
What plant has the largest seed ?,entity
What was the only country you were allowed to drive into Israel from in 1979 ?,location
What 's approaching when a cyclist shouts : `` Oil '' ?,entity
"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?",human
What kind of sport is often associated with hooligans ?,entity
What video game hero do some of his fans call Chomper ?,human
How many holes are there in a tenpin bowling ball ?,numeric
What is the longest word in the English language ?,entity
In What city or state do the most gay men live in ?,location
"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?",human
What is `` the bear of beers '' ?,entity
Name the operating system that runs on IBM-compatible machines .,entity
What does the name `` Justin '' mean ?,description
What percentage of the body is muscle ?,numeric
What color of dry wine should be served with veal roasts and chops ?,entity
What is a golf ball made of ?,entity
What is the Amish religion ?,description
What does an average daycare provider get paid in New England ?,numeric
What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?,human
Who played the Ringo Kid in the 1939 film Stagecoach ?,human
Who died 1 feet from where John F. Kennedy did ?,human
What is the `` coppertop '' battery ?,description
What sign is The Water Carrier the zodiacal symbol for ?,entity
What animals do you find in the stock market ?,entity
What is color ?,description
When is the site www.questions.com going to open ?,numeric
What did Shostakovich write for Rostropovich ?,entity
What first name was Nipsy Russell given at birth ?,human
How can I get some free technical information on Electric Vehicle ?,description
Who is the youngest of the Beatles ?,human
How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?,description
What is a Jellicle Cat ?,description
Where can I find the best free evidence for debate about Russia ?,location
What is Bill Gates of Microsoft E-mail address ?,location
What is the second hardest substance ?,entity
Why did several San Diego schools stop serving apples to students ?,description
What Russian city boasts the Hermitage Museum ?,location
When is Bastille Day ?,numeric
What makes a tornado turn ?,description
How many shots can a stock M16 hold ?,numeric
What two colors are you blind to if you suffer from protanopia ?,entity
Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?,description
Who is Coronado ?,human
What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?,entity
What is artificial intelligence ?,description
What do flatfish eat ?,entity
Who was the first Holy Roman Emperor ?,human
What can I use to remove the stubborn gummed labels from some diskettes ?,entity
What day of the week sees the most fatal car accidents ?,numeric
"What is the origin of the word , magic ?",description
What sport do you shag flies in ?,entity
What is white chocolate ?,description
Where is Trinidad ?,location
Name the organization that is presided by a Security Council .,human
"Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?",human
What kind of wine is Spumante ?,entity
Who portrayed portly criminologist Carl Hyatt on Checkmate ?,human
How do you say I love you in Spanish ?,entity
