,context,abbreviation,description,entity,human,location,numeric
46,"As of February 2021, the board of directors had the following members: [163]
Enrique Hernandez Jr., non-executive chairman; president and CEO of Inter-Con Security
Lloyd H. Dean, president and CEO of Dignity Health
Chris Kempczinski, president and CEO of McDonald's
Robert A. Eckert, operating partner of Friedman Fleischer & Lowe
Margo Georgiadis, CEO of Ancestry.com
Richard H. Lenny, non-executive of Conagra Brands
John J. Mulligan, executive vice president and COO of Target Corporation
Sheila A. Penrose, non-executive chairman of Jones Lang LaSalle
John W. Rogers Jr., chairman and CEO of Ariel Investments
Miles D. White, chairman and CEO of Abbott Laboratories
Andrew J. McKenna, chairman emeritus. Also chairman emeritus of Schwarz Supply Source
Catherine M. Engelbert, commissioner of the Women's National Basketball Association
Paul S. Walsh, executive chairman of McLaren Group",not_abbreviation,not_description,not_entity,human,not_location,numeric
50,"On January 9, 2014, IBM announced it was creating a business unit around Watson, led by senior vice president Michael Rhodin. $^{[116]}$ IBM Watson Group will have headquarters in New York 's Silicon Alley and will employ 2,000 people. IBM has invested $1 billion to get the division going. Watson Group will develop three new cloud-delivered services: Watson Discovery Advisor, Watson Engagement Advisor, and Watson Explorer. Watson Discovery Advisor will focus on research and development projects in pharmaceutical industry, publishing, and biotechnology, Watson Engagement Advisor will focus on self-service applications using insights on the basis of natural language questions posed by business users, and Watson Explorer will focus on helping enterprise users uncover and share datadriven insights based on federated search more easily. [116] The company is also launching a $100 million venture fund to spur application development for 'cognitive ' applications. According to IBM, the cloud-delivered enterprise-ready Watson has seen its speed increase 24 times over-a 2,300 percent improvement in performance and its physical size shrank by 90 percent-from the size of a master bedroom to three stacked pizza boxes. $^{[116]}$ IBM CEO Virginia Rometty said she wants Watson to generate $10 billion in annual revenue within ten years. $^{[117]}$ In 2017, IBM and MIT established a new joint research venture in artificial intelligence. IBM invested $240 million to create the MIT-IBM Watson AI Lab in partnership with MIT, which brings together researchers in academia and industry",not_abbreviation,description,not_entity,not_human,location,numeric
55,"In 1958 IBM started using the House and its grounds as development laboratories. In 1963 IBM purchased the 100 acres (405,000 m²) of surrounding land and have since erected a large modern office complex employing over 1500 people. The original house is still used by IBM as an Executive Briefing Centre. The lower ground floor of the house is home to the IBM Hursley Museum, [4] a computing museum that covers the history of IBM Hursley Park, IBM United Kingdom and IBM Corporation. [5]",not_abbreviation,description,entity,not_human,location,numeric
60,"Notes and references
1. Kahney, Leander (2003-09-09). 'Grandiose Price for a Modest PC ' (https://www.wired.com/2003/0 9/grandiose-price-for-a-modest-pc/). Wired. Retrieved 2019-11-04.
2. 'Microcomputer ' (http://dictionary.reference.com/browse/microcomputer). dictionary.com.
3. A.O., Williman; Jelinek, H.J. (June 1976). 'Special Tutorial: Introduction to LSI Microprocessor Developments '. Computer. IEEE. 9 (Computer): 37. doi:10.1109/C-M.1976.218612 (https://doi.or g/10.1109%2FC-M.1976.218612). S2CID 11184882 (https://api.semanticscholar.org/CorpusID:111 84882).
4. Proof of 'micro ' as a once-common term:
(i) Direct reference: Graham Kibble-White, 'Stand by for a Data-Blast ' (http://www.offthetelly.co.uk/ oldott/www.offthetelly.co.uk/index7943.html?page_id=568), Off the Telly. Article written December 2005, retrieved 2006-12-15.",not_abbreviation,not_description,not_entity,human,not_location,not_numeric
65,"SaaS applications are often updated more frequently than traditional software, $^{[27]}$ in many cases on a weekly or monthly basis. This is enabled by several factors:
The application is hosted centrally, so an update is decided and executed by the provider, not by customers.
The application only has a single configuration, making development testing faster.
The application vendor does not have to expend resources updating and maintaining backdated software versions because there is only one version.
The application vendor has access to all customer data, expediting design and regression testing.
The service provider has access to user behavior within the application (usually via web analytics), making it easier to identify areas worthy of improvement.",not_abbreviation,description,not_entity,not_human,not_location,numeric
70,"1990-1999
1993
CGI Informatique (France), bought in 1993, ran independently until 1996, and was then progressively absorbed by IBM, country by country, this process being achieved in 1999.
1994
Transarc (Transarc Corporation bought by IBM in 1994, became part of IBM proper in 1999 as the IBM Pittsburgh Lab) [12]
1995
Lotus Development Corporation for $3.5 billion.
Information Systems Management Canada (ISM Canada)
K3 Group Ltd.
1996
Wilkerson Group
Tivoli Systems, Inc. for $743 million.
Data Sciences Ltd, prior to 1991 comprising Thorn EMI Software, Datasolve and the Corporate Management Services Division of Thorn EMI, for £95 million. [13]
Object Technology International (OTI) is acquired by IBM
Cyclade Consultants (Netherlands)
Fairway Technologies
Professional Data Management, Inc. / LifePRO [14]
1997
Software Artistry for $200 million.
Unison Software.
Dominion Semiconductor (Manassas, VA) is created by forming a 50/50 joint venture with Toshiba to produce 64MB and 256MB DRAM chips. Administrative offices are located in Building 131 the former IBM Federal Systems campus now primarily owned by Lockheed Martin; the new state-of-the-art fabrication facility was built from on adjacent land.
1998",not_abbreviation,not_description,not_entity,not_human,location,numeric
75,"5
The 5 Browns
5 Colori
5 Seconds of Summer
5th arrondissement of Paris
5th Cell
6ix9ine
6lack
6th arrondissement of Paris
007 Legends
7 Year Bitch
007: Licence to Kill
7th Armored Brigade (Israel)
7th arrondissement of Paris
07th Expansion
The 7th Guest
7th Heaven (1927 film)
7th Heaven (band)
7th Level
The 7th Voyage of Sinbad
8½
8 Women
8Ball & MJG
8th arrondissement of Paris
8th Day (Jewish band)
9 Dead Alive
9th arrondissement of Paris
10 Years (band)
10cc
10th arrondissement of Paris
11:11 (Rodrigo y Gabriela album)
11th arrondissement of Paris
The 11th Hour (video game)
12 Angry Men (1957 film)
The 12 Cellists of the Berlin Philharmonic
12 Fantasias for Solo Flute (Telemann)
12 Fantasias for Solo Violin (Telemann)
12 Monkeys
12 Stones
12th arrondissement of Paris
13th arrondissement of Paris
The 13th Floor Elevators
13th Street (TV channel)
13th Waffen Mountain Division of the SS Handschar (1st Croatian)",not_abbreviation,not_description,entity,not_human,location,numeric
80,"
46. Rodengen, p. 73.
47. Rodengen, p. 59.
48. Hitt, Michael; Ireland, R. Duane; Hoskisson, Robert. Strategic Management: Concepts and Cases (https://books.google.com/books?id=gZ60WQm54CoC&pg=PT498). Cengage Learning, 2006. p. C-26.
49. Rodengen, pp. 65, 71-72, 79-80.
50. Sanchez, Julio, and Maria P. Canton. Software Solutions for Engineers and Scientists (https://book s.google.com/books?id=jtKc0k5BWA8C&pg=PA95). CRC Press, 2007. p. 95.
51. AMD 8086 microprocessor family (http://www.cpu-world.com/CPUs/8086/MANUF-AMD.html), CPU World. (Accessed November 3, 2014.)
52. 'Patent Cross License Agreement ' (https://www.sec.gov/Archives/edgar/data/2488/000119312509 236705/dex102.htm). U.S. Securities and Exchange Commission. November 11, 2009. Retrieved February 2, 2021.
53. Ziberg, Christian. 'Timeline: How AMD changed over the past 39 years ' (http://www.tgdaily.com/tr endwatch-features/39628-timeline-how-amd-changed-over-the-past-39-years) Archived (https://we b.archive.org/web/20141113081521/http://www.tgdaily.com/trendwatch-features/39628-timeline-ho w-amd-changed-over-the-past-39-years) November 13, 2014, at the Wayback Machine. TGDaily. October 7, 2008.
54. International Directory of Company Histories (http://www.encyclopedia.com/topic/Advanced_Micro _Devices_Inc.aspx). 1992.
55. Rodengen, pp. 73, 78-80.
56. Rodengen, p. 80.
57. Levering, Robert; Moskowitz, Milton; Katz, Michael. The 100 Best Companies to Work for in America. Addison-Wesley, 1984.
58. 1985 Full list (http://archive.fortune.com/magazines/fortune/fortune500_archive/full/1985/401.html) Archived (https://web.archive.org/web/20141113071022/http://archive.fortune.com/magazines/fort une/fortune500_archive/full/1985/401.html) November 13, 2014, at the Wayback Machine. Fortune 500. Fortune archive.
59. Rodengen, p. 85.
60. Rodengen, pp. 85-87.
61. Rodengen, pp. 86, 90, 95, 99.
62. Rodengen, pp. 90-91.
63. Rodengen, pp. 87-88, 97-99.
64. Rodengen, p. 97.
65. Rodengen, p. 91.
66. Computer Design, Volume 25, Issues 13-22 (https://books.google.com/books?id=-Yo_AQAAIAAJ &q=%22amd%22+%22world+chip%22). Computer Design Publishing Corporation, 1986. p. 14.
67. Rodengen, p. 100.
68. Mann, Daniel (1995), Evaluating and Programming the 29K RISC Family (https://web.archive.org/ web/20070927060927/http://www.amd.com/epd/29k/29kprog/29kprog.pdf) (PDF), Advanced Micro Devices, archived from the original (http://datasheets.chipdb.org/AMD/29K/29kprog.pdf) (PDF) on September 27, 2007
69. Pflanz, Matthias. On-line Error Detection and Fast Recover Techniques for Dependable Embedded Processors (https://books.google.com/books?id=FXWJ61To3iYC&pg=PA23). Springer",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
84,"Note: The order in which the majors were contested varied between 1895 and 1953. Before 1916, the PGA Championship did not exist; Before 1934, the Masters did not exist. From 1954 through 2018, the order of the majors was Masters, U.S. Open, Open Championship, PGA except in 1971, when the PGA was played before the Masters. From 2019, the order has been Masters, PGA, U.S. Open, Open Championship.
1861-62: Old Tom Morris 1861 Open, 1862 Open
1894-95: J.H. Taylor 1894 Open, 1895 Open
1920-21: Jock Hutchison 1920 PGA, 1921 Open (The Open Championship was the first major contested in 1921)
1921-22: Walter Hagen 1921 PGA, 1922 Open (The Open Championship was the first major contested in 1922)
1922: Gene Sarazen 1922 U.S. Open, 1922 PGA
1924: Walter Hagen 1924 Open, 1924 PGA
1926: Bobby Jones 1926 Open, 1926 U.S. Open (The Open Championship was played before the U.S. Open in 1926)
1927-28: Walter Hagen 1927 PGA, 1928 Open (The Open Championship was the first major contested in 1928)
1930-31: Tommy Armour 1930 PGA, 1931 Open (The Open Championship was the first major contested in 1931)
1932: Gene Sarazen 1932 Open, 1932 U.S. Open (The Open Championship was the first major contested in 1932, followed by the U.S. Open)
1941: Craig Wood 1941 Masters, 1941 U.S. Open
1948: Ben Hogan 1948 PGA, 1948 U.S. Open (The PGA was played between the Masters and U.S. Open in 1948)
1949: Sam Snead 1949 Masters, 1949 PGA (As in 1948, the 1949 PGA was played between the Masters and U.S. Open)
1951: Ben Hogan 1951 Masters, 1951 U.S. Open
1953: Ben Hogan; 1953 Masters, 1953 U.S. Open (The 1953 Open Championship, also won by Hogan, was actually concluded only 3 days after 1953 PGA; he chose not to play in the PGA because of the strain on his legs, and the conflict with the Open championship.)
1960: Arnold Palmer 1960 Masters, 1960 U.S. Open
1971: Lee Trevino 1971 U.S. Open, 1971 Open
1972: Jack Nicklaus 1972 Masters, 1972 U.S. Open (The 1971 PGA, also won by Nicklaus, was not consecutive due to being played before the Masters in 1971)
1982: Tom Watson 1982 U.S. Open, 1982 Open
1994: Nick Price 1994 Open, 1994 PGA
2002: Tiger Woods 2002 Masters, 2002 U.S. Open
2005-06: Phil Mickelson 2005 PGA, 2006 Masters
2006: Tiger Woods 2006 Open, 2006 PGA
2008: Pádraig Harrington 2008 Open, 2008 PGA
2014: Rory McIlroy 2014 Open, 2014 PGA
2015: Jordan Spieth 2015 Masters, 2015 U.S. Open",not_abbreviation,not_description,not_entity,human,not_location,not_numeric
87,"IBM may also refer to:
IBM (atoms), a demonstration of the creation of the initials 'IBM ' using individual atoms in 1990
Identity based motivation, a social psychological theory of human motivation and goal pursuit
Inclusion body myositis, an inflammatory muscle disease
Injection blow molding, blow molding manufacturing process
Interacting boson model, in nuclear physics
International Brotherhood of Magicians
itty bitty machine company, or 'ibm ', a small computer retail store in Evanston, Illinois, United States
Izu-Bonin-Mariana Arc system, a plate tectonic convergent boundary in the Pacific Ocean
Invisible Black Matter, a fictional substance in Ajin: Demi-Human",abbreviation,not_description,entity,not_human,location,not_numeric
92,"There are several explanations for the etymology of this name:
Kolikata is thought to be a variation of Kalikkhetrô (Bengali: ক া ল ী ে [ˈkaliˌkʰetrɔ]), meaning 'Field of [the goddess] Kali '. Similarly, it can be a variation of 'Kalikshetra' (Sanskrit: $_{क}$$_{ा}$$_{ल}$$_{ी}$ $_{े}$, lit. 'area of Goddess Kali ').
Another theory is that the name derives from Kalighat. [29]
Alternatively, the name may have been derived from the Bengali term kilkila (Bengali: $_{ি}$$_{ক}$$_{ল}$$_{ি}$$_{ক}$$_{ল}$$_{া}$), or 'flat area '. [30]
The name may have its origin in the words khal (Bengali: $_{খ}$$_{া}$$_{ল}$ [ˈkʰal]) meaning 'canal ', followed by kaṭa (Bengali: $_{ক}$$_{া}$$_{ট}$$_{া}$ [ˈkaʈa]), which may mean 'dug '. [31]
According to another theory, the area specialised in the production of quicklime or koli chun (Bengali: $_{ক}$$_{ি}$$_{ল}$ $_{চ}$ $_{ন}$ [ˈkɔliˌtʃun]) and coir or kata (Bengali: $_{ক}$$_{া}$$_{ত}$$_{া}$ [ˈkata]); hence, it was called Kolikata). [30]",not_abbreviation,description,not_entity,not_human,location,not_numeric
97,"'generic ' systems for less than the cost of one IBM-branded PC AT, and many companies did just that.
By integrating more peripherals into the computer itself, compatibles like the Model D have more free ISA slots than the PC. [34]
Compaq was the first to release an Intel 80386-based computer, almost a year before IBM, $^{[45]}$ with the Compaq Deskpro 386. Bill Gates later said that it was 'the first time people started to get a sense that it wasn't just IBM setting the standards '. [52]
IBM's 1987 introduction of the incompatible and proprietary MicroChannel Architecture (MCA) computer bus, for its Personal System/2 (PS/2) line. [43]
The split of the IBM-Microsoft partnership in development of OS/2. Tensions caused by the market success of Windows 3.0 ruptured the joint effort because IBM was committed to the 286's protected mode, which stunted OS/2's technical potential. Windows could take full advantage of the modern and increasingly affordable 386 / 386SX architecture. As well, there were cultural differences between the partners, and Windows was often bundled with new computers while OS/2 was only available for extra cost. The split left IBM the sole steward of OS/2 and it failed to keep pace with Windows.
The 1988 introduction by the 'Gang of Nine ' companies of a rival bus, Extended Industry Standard Architecture, intended to compete with, rather than copy, MCA. [43]
The duelling expanded memory (EMS) and extended memory (XMS) standards of the late 1980s, both developed without input from IBM.",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
99,"Some of the manufacturers that Vishay has acquired include HiRel Systems (2012), the resistor business of Huntington Electric (2011), the wet tantalum capacitor business of KEMET (2008), the PCS business of International Rectifier (2007), BCcomponents (Beyschlag Centralab components, which was previously part of Philips Electronics Components) (2002), [7] General Semiconductor, the infrared components business of Infineon, Mallory (NACC), and Tansitor (2001), Cera-Mite, Electro-Films, and Spectrol (2000), Siliconix and Telefunken (1998), Vitramon (1994), Roederstein (1993), Sprague (1992), Sfernice (1988), Draloric (1987), and Dale (1985). [8]",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
104,"New York City portal
William Peter Hamilton
The Economic Times
Far Eastern Economic Review
Index of Economic Freedom-an annual report published by the Journal together with The Heritage Foundation
Lucky duckies
Media in New York City
On the Money (2013 TV series)-the current title of a CNBC-produced program known as The Wall Street Journal Report from 1970 until the CNBC/Dow Jones split in January 2013.
The Wall Street Journal Special Editions
Wall Street Journal Radio Network
Worth Bingham Prize
Billion dollar whale",not_abbreviation,not_description,not_entity,not_human,location,not_numeric
109,"IBM is a globally integrated enterprise operating in 170 countries. IBM's R&D history in Israel began in 1972 when Professor Josef Raviv established the IBM Israel Scientific Center in the Technion's Computer Science Building in Haifa. Today, over 1000 individuals work at IBM R&D locations across Israel, including Haifa, Tel Aviv, Herzliya, Rehovot, and the Jerusalem Technology Park. IBM research and development activities in Israel include a number of labs.",not_abbreviation,description,not_entity,not_human,location,numeric
114,"|-------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------|
| Merck & Co Acquisitions                                                                               | [show]                                                                                                |
| Merck & Co (Founded in 1891 as the US subsidiary of Merck of Darmstadt, later Nationalised by the US  | Merck & Co (Founded in 1891 as the US subsidiary of Merck of Darmstadt, later Nationalised by the US  |
| government in 1917 during the first World War)                                                        | government in 1917 during the first World War)                                                        |
| Merck & Co                                                                                            | Merck & Co                                                                                            |
| Merck & Co                                                                                            | Merck & Co                                                                                            |
| H. K. Mulford Company  (Acq 1929)                                                                     | H. K. Mulford Company  (Acq 1929)                                                                     |
| Sharp & Dohme, Inc  (Acq 1953)                                                                        | Sharp & Dohme, Inc  (Acq 1953)                                                                        |
| Charles E. Frosst Ltd  (Acq 1965, restructured into Merck-Frosst Canada, Inc, restructured into Merck | Charles E. Frosst Ltd  (Acq 1965, restructured into Merck-Frosst Canada, Inc, restructured into Merck |
| Canada in 2011)                                                                                       | Canada in 2011)                                                                                       |
| Medco Containment Services Inc  (Acq 1993, Spun off 2003)                                             | Medco Containment Services Inc  (Acq 1993, Spun off 2003)                                             |
| Schering-Plough                                                                                       | Schering-Plough                                                                                       |
| Schering-Plough  (Merged 1971)                                                                        | Schering-Plough  (Merged 1971)                                                                        |
| Schering Corporation  (Founded 1851)                                                                  | Schering Corporation  (Founded 1851)                                                                  |
| Plough, Inc  (Founded 1908)                                                                           | Plough, Inc  (Founded 1908)                                                                           |
| Organon International                                                                                 | Organon International                                                                                 |
| Alydia Health  (Acq 2021)                                                                             | Alydia Health  (Acq 2021)                                                                             |
| Intervet                                                                                              | Intervet                                                                                              |
| Diosynth                                                                                              | Diosynth                                                                                              |
| Nobilon                                                                                               | Nobilon                                                                                               |
| Imperial Blue Corporation [137]                                                                       | Imperial Blue Corporation [137]                                                                       |
| Idenix Pharmaceuticals  (Acq 2014)                                                                    | Idenix Pharmaceuticals  (Acq 2014)                                                                    |
| Maven Corporation [138]                                                                               | Maven Corporation [138]                                                                               |
| Cubist Pharmaceuticals                                                                                | Cubist Pharmaceuticals                                                                                |
| Trius Therapeutics  (Acq 2013)                                                                        | Trius Therapeutics  (Acq 2013)                                                                        |
| Optimer Pharmaceuticals  (Acq 2013)                                                                   | Optimer Pharmaceuticals  (Acq 2013)                                                                   |",not_abbreviation,not_description,entity,not_human,not_location,not_numeric
117,"The History Press is a subsidiary publishing house, owned by Arcadia. Its books mainly deal with 'narratives of local heroes, tragic losses, collections of homegrown recipes, historic mysteries, and everything in between. ' $^{[11]}$ Some of their series include: American Legends (a series focused on local mythology, legends, and mysteries), Forgotten Tales (a line of books that catalogue near-forgotten stories), and Haunted America (paranormal history books that are written by local authors about ghost stories specific to cities across the US). [12][13][14]",not_abbreviation,description,not_entity,not_human,not_location,not_numeric
122,"Prior to the 1980s, IBM Canada was located in a sprawling complex at Don Mills Road and Eglinton Avenue East. There are two main buildings at this site. The building located at 844 Don Mills Road was IBM's Canada manufacturing plant and head office and opened in 1951. After many additions to this building a second building on this site opened in 1967 (1150 Eglinton Avenue East) which became the head office and software research lab. When IBM Canada's head offices relocated to Markham, Ontario from Don Mills, their old site continued to operate as a manufacturing and research facility. Both facilities are now owned and operated by Celestica, an electronics manufacturing service provider and former IBM subsidiary, as its global corporate headquarters. The Don Mills building was demolished in 2020 to pave way for major redevelopment near the Science Centre station.",not_abbreviation,description,not_entity,not_human,location,numeric
127,"3
3 Doors Down
3 Feet Smaller
3 Hürel
3 Inches of Blood
3A (band)
3D film
3D printing
3M
3OH!3
3rd Army (Wehrmacht)
3rd arrondissement of Paris
3rd Mountain Division (Wehrmacht)
3rd Panzer Army
3rd Panzer Brigade (Bundeswehr)
3rd Panzer Division (Bundeswehr)
3rd SS Panzer Division Totenkopf
3rd Wish
3sat
3Steps
4
4 Vesta
4'33""
4 Clubbers
4 Months, 3 Weeks and 2 Days
4 Non Blondes
4 P.M. (group)
4. documenta
4hero
4Lyn
4Q119
4Q120
4Q121
4Q126
4th Army (Wehrmacht)
4th arrondissement of Paris
4th Panzer Army
4th Panzer Division (Wehrmacht)
4th SS Polizei Panzergrenadier Division
5 Astraea
5
16 Horsepower
16th arrondissement of Paris
16th Panzer Division (Wehrmacht)
16th SS Panzergrenadier Division Reichsführer-SS
Seventeenth Amendment to the United States Constitution",not_abbreviation,not_description,not_entity,not_human,not_location,not_numeric
132,"Java servlet technology provides Web developers with a simple, consistent mechanism for extending the functionality of a Web server and for accessing existing business systems. Servlets are server-side Java EE components that generate responses to requests from clients. Most of the time, this means generating HTML pages in response to HTTP requests, although there are a number of other standard servlet classes available, for example for WebSocket communication.",not_abbreviation,description,not_entity,not_human,not_location,not_numeric
137,"In creating the fabless semiconductor industry, LSI/CSI had to do the following:
1. Select a suitable and CDC certifiable wafer fab house.
2. Monitor the process, and inspection of all wafers per Class S requirements and visuals.
3. Perform all In-Process inspections of the wafers.
4. Select a highly reliable packaging house capable of meeting CDC's Class S assembly requirements.
5. Have CDC certify and approve the assembly facility and its processes.
6. LSI/CSI successfully performed all required environmental testing at Class S approved facilities.
7. LSI/CSI prepared and submitted all environmental test reports.",not_abbreviation,not_description,not_entity,not_human,not_location,not_numeric
142,"Fortune regularly publishes ranked lists. In the human resources field, for example, it publishes a list of the Best Companies to Work For. Lists include companies ranked in order of gross revenue and business profile, as well as business leaders:
Fortune 500
Fortune 1000
Fortune Global 500
Fortune India 500
40 Under 40
Fortune Most Powerful Women Entrepreneurs
100 Best Companies to Work For
World's Most Admired Companies
100 Fastest Growing Companies
The Unicorn List
Businessperson of the Year
Change the World
The World's 50 Greatest Leaders
The Ledger 40 Under 40
Future 50
100 Best Workplaces For Millennials
100 Best Workplaces For Women
50 Best Workplaces for New College Graduates
Best Workplaces for Diversity
50 Best Places to Live for Families
Crypto 40 [25]",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
144,"The 305's instruction set does not include any jumps, instead these are programmed on the control panel:
Unconditional jump-the program exit code (P field) specifies a Program exit hub on the control panel, which has a wire plugged into it and, via distributors, to Program entry hubs specifying the first, second and third address digit of the instruction to jump to.
Conditional jump-the program exit code (P field) specifies a Program exit hub on the control panel, which has a wire plugged into it and the appropriate Condition selector common hub to be tested, the corresponding two Condition selector output hub s have wires plugged into them and the Program entry hub s specifying the instructions to jump to or the Program advance hub to continue in sequence. Complicated conditions involving many Condition selectors could be wired to execute in a single instruction (e.g., Testing the sign and zero states of multiple accumulators), with one of several Program entry hub s activated.
Multi-way jump-the destination track (T$_{2}$ field) is set to-and the appropriate Character selector hub s on the control panel have wires plugged into them and the Program entry hub s specifying the instructions to jump to or the Program advance hub to continue in sequence.",not_abbreviation,description,not_entity,not_human,not_location,not_numeric
